time,open,high,low,close,MA
2010-09-07,102.5,102.5,101.14002,101.78,
2010-09-13,102.96,103.88,102.38,103.35998,
2010-09-20,103.74,105.44,103.12,104.84,
2010-09-27,104.98002,105.68,103.42002,104.72,
2010-10-04,105.26,106.74,103.5,106.6798,
2010-10-11,106.72,108.28,105.74,107.56,
2010-10-18,107.62,108.75602,106.01998,108.18,
2010-10-25,109.01998,109.28,107.22,108.29998,
2010-11-01,108.92002,112.29998,107.76,112.16,106.3977511111111
2010-11-08,111.88,112.29998,109.38,109.8198,107.29106222222222
2010-11-15,110.29998,110.521,107.4744,109.9,108.01773111111112
2010-11-22,109.42002,109.80398,107.92402,109.04,108.48439777777779
2010-11-29,108.35998,112.46,107.66,112.34,109.33106444444445
2010-12-06,112.16,113.88,111.9598,113.79998,110.12219555555556
2010-12-13,114.32,114.44,113.12,114.24,110.86441777777777
2010-12-20,114.57998,115.6,113.96,115.42002,111.66886444444445
2010-12-27,114.46,115.44,114.4,115.14002,112.42886888888889
2011-01-03,115.94,116.92002,115.48002,116.306,112.88953555555555
2011-01-10,115.88,118.34,115.48002,118.29998,113.83177777777776
2011-01-18,118.26,118.57998,116.3212,117.44,114.66955555555556
2011-01-24,117.4,119.22,116.68,116.80398,115.53222
2011-01-31,117.22,120.01998,116.93798,119.96,116.37888666666666
2011-02-07,120.29998,121.92002,120.16,121.78,117.26555555555554
2011-02-14,121.72,123.22,121.38,123.07998,118.24777555555556
2011-02-22,121.68,122.38,118.66,121.06,118.87443999999999
2011-02-28,121.54,122.29998,119.5,121.20002,119.54777333333332
2011-03-07,121.6,121.74798,118.4,119.70002,119.92488666666668
2011-03-14,118.96,119.2598,114.64002,117.38,119.82266666666666
2011-03-21,118.84,120.57998,117.94,120.06,120.11377777777778
2011-03-28,120.38,122.34,119.294,121.79998,120.66888888888889
2011-04-04,122.1,122.51998,121.01998,121.54,120.84444444444446
2011-04-11,121.68,122.01998,119.16,120.72,120.72666666666669
2011-04-18,119.29998,122.38,118.44018,122.2984,120.63982444444446
2011-04-25,122.32,124.88,121.8262,124.79998,121.05537777777779
2011-05-02,125.44,125.44,121.64002,122.78,121.23093111111113
2011-05-09,122.79998,124.48002,122.01998,122.568,121.54959555555557
2011-05-16,122.20002,123.46,120.92002,122.249,122.09059555555557
2011-05-23,120.70002,122.4,120.16,122.112,122.31859555555558
2011-05-31,123.29998,123.3598,119,119.29998,122.0408177777778
2011-06-06,119.06,119.18,116.4,116.64002,121.49637555555556
2011-06-13,116.9,118.66,115.54,116.70002,121.04971111111111
2011-06-20,116.34,119.26,115.79998,116,120.3498888888889
2011-06-27,116.07998,122.6,115.82598,122.5,120.09433555555557
2011-07-05,122.4,124.1,121.76,122.98002,120.11656
2011-07-11,121.44,121.84,119.51998,120.46,119.88233777777779
2011-07-18,119.94,123.24398,118.56,123.1,119.97689333333334
2011-07-25,121.88,123,117.44,118.20002,119.54222888888889
2011-08-01,119.78,119.82,106.94,109.78,118.48445333333332
2011-08-08,106.01998,109,100.92002,108.0448,117.52942888888889
2011-08-15,109.1,110.79998,102.84,102.9,115.99609333333335
2011-08-22,105.32,109.18,102.78,107.78,115.08276000000001
2011-08-29,109.34,112.906,107.4,107.74,113.44276
2011-09-06,104.72,110.57998,104.64002,106,111.55609111111113
2011-09-12,104.70002,112.056,104.361,111.70002,110.58276000000001
2011-09-19,109.85998,112.14002,102.38,103.68,108.42498222222224
2011-09-26,104.72,109.28,103.32,103.51998,106.79386666666667
2011-10-03,102.82,107.168,98.24,105.78,106.34942222222223
2011-10-10,107.74,112.06,107.66,111.98002,106.78666888888888
2011-10-17,111.48002,113.42002,109,113.32,107.94444666666666
2011-10-24,113.56,118.29998,111.79998,117.66,109.04222444444444
2011-10-31,116.26,116.346,111.16,114.79598,109.82622222222223
2011-11-07,114.64002,117.01998,112.4,115.86402,110.92222444444445
2011-11-14,115.42002,115.91198,110.91198,111.5,110.9
2011-11-21,109.9,110.06,106.29998,106.29998,111.19110888888889
2011-11-28,109.26,115.67042,108.64002,114.16,112.37333333333333
2011-12-05,116,116.32,113.07998,115.29998,113.4311088888889
2011-12-12,114.28,114.76,111.1,111.79998,113.41110444444445
