time,open,high,low,close,MA
1999-03-01,51.125,54.1875,48.5,52.46875,
1999-04-01,54,57.28125,48.84375,53.71875,
1999-05-03,53.5625,56,48.9375,52.03125,
1999-06-01,51.9375,59.9375,49.57031,57.625,
1999-07-01,57.8125,61.71875,55.78125,56.59375,
1999-08-02,56.6875,61.75,52.9375,59.6875,
1999-09-01,60.0625,63.75,58.625,60.1875,
1999-10-01,59.375,66.25,57.41406,65.75,
1999-11-01,65.75,78.78125,65.19531,74,59.11805555555556
1999-12-01,74.3125,93.75,73.75,91.375,63.44097222222222
2000-01-03,96.1875,97.625,80,90,67.47222222222223
2000-02-01,89.53125,107.5,88.4375,107,73.57986111111111
2000-03-01,107.25,120.5,101,109.5,79.34375
2000-04-03,107.76562,109.125,63.125,94.5,83.55555555555556
2000-05-01,95.75,96.875,72.25,83,86.14583333333333
2000-06-01,85.1875,99.71875,84,93.1875,89.8125
2000-07-03,93.5,102.0625,85.71875,89.5,92.45138888888889
2000-08-01,89.8125,101.875,83.3125,101.875,95.54861111111111
2000-09-01,103,103.51562,87.5,88.6875,95.25
2000-10-02,90.25,90.25,73.625,81.70312,94.32812444444444
2000-11-01,80.3125,84.125,60.5,62.98437,89.4374988888889
2000-12-01,64.0625,74.78125,54.25,58.375,83.75694333333334
2001-01-02,58.5625,69.125,52.15625,64.3,80.40138777777777
2001-02-01,64.55,65.61,46.86,47.45,76.45138777777778
2001-03-01,46.97,50.66,38,39.14999,70.44722
2001-04-02,39.17,51,33.60001,46.14999,65.63055222222222
2001-05-01,46.2,51.95,44.06,44.73,59.281107777777784
2001-06-01,45.53999,49.49001,41.25999,45.7,54.50471888888889
2001-07-02,45.65199,46.48,39.31,41.75999,50.06659333333333
2001-08-01,42.63699,44.004,35.75,36.63,47.13833
2001-09-04,36.51801,37.5,27.2,28.98,43.872218888888895
2001-10-01,28.85001,37.06,27.85001,33.89999,40.49444
2001-11-01,34.44,40.97,33.782,39.64999,39.62777222222222
2001-12-03,39.28999,43.24001,38.44,38.91,39.60110666666666
2002-01-02,39.57001,42.60001,36.85001,38.50999,38.75221777777778
2002-02-01,38.401,39.17,33.09,33.78,37.53555111111112
2002-03-01,34.15401,39.19,32.74001,36.06,36.46444
2002-04-01,35.8,36.89999,30.56799,31.73,35.34999666666667
2002-05-01,31.67,33.63,23.88,30.03999,34.61777333333334
