time,open,high,low,close,MA
1999-03-08,51.125,51.734375,49.65625,50.0625,
1999-03-15,50.4375,53.25,49.90625,51.21875,
1999-03-22,51.4375,52.46875,48.5,51.75,
1999-03-29,52.375,54.1875,52.0625,53.5625,
1999-04-05,54.429685,56.25,53.8125,55.8125,
1999-04-12,54.5,55.90625,51.125,51.96875,
1999-04-19,52.3125,55.71875,48.84375,55.3125,
1999-04-26,55.6875,57.28125,51.8125,53.71875,
1999-05-03,53.5625,54.375,51.03125,52.96875,52.93055555555556
1999-05-10,53.3125,56,52.6875,53.40625,53.302083333333336
1999-05-17,52.9375,54.992185,52.41406,52.875,53.486111111111114
1999-05-24,52.96875,53.0625,48.9375,52.03125,53.517361111111114
1999-05-31,51.9375,52.742185,49.57031,52.5625,53.40625
1999-06-07,52.929685,54.03125,51.3125,51.78125,52.958333333333336
1999-06-14,51.96875,55.21875,50.6875,55.0625,53.302083333333336
1999-06-21,55.4375,57.09375,54.1875,54.6875,53.232638888888886
1999-06-28,55.15625,59.9375,54.703125,58.75,53.791666666666664
1999-07-05,59.0625,59.90625,57.9375,59.84375,54.55555555555556
1999-07-12,60.0625,61.71875,58.78125,61.375,55.44097222222222
1999-07-19,61.625,61.625,56.6875,57.28125,55.93055555555556
1999-07-26,56.5,58.4375,55.78125,56.59375,56.4375
1999-08-02,56.6875,57.8125,53.75,55.328125,56.744791666666664
1999-08-09,55.53125,57.71875,52.9375,57.65625,57.39756944444444
1999-08-16,57.625,58.84375,56.69531,57.96875,57.720486111111114
1999-08-23,58.5,61.75,58.367185,59.875,58.296875
1999-08-30,60.125,62.679685,58.125,62.65625,58.73090277777778
1999-09-06,62.53125,63.742185,61.03125,63.125,59.095486111111114
1999-09-13,63.0625,63.492185,60.19531,63.3125,59.310763888888886
1999-09-20,63.5,63.75,58.625,60.078125,59.62152777777778
1999-09-27,60.9375,61.375,58.75,60.210935,60.02343722222221
1999-10-04,60.53125,63.9375,60.1875,63.75781,60.96006888888889
1999-10-11,63.9375,64.6875,59.50781,59.875,61.20659666666667
1999-10-18,59.9375,63.25,57.41406,61.96875,61.65104111111111
1999-10-25,61.6875,66.25,60.44531,65.75,62.30381888888889
1999-11-01,65.75,69.21875,65.19531,68.1875,62.91840222222223
1999-11-08,68.4375,72.25,68.21875,72.1875,63.92534666666667
1999-11-15,72.25,75.90625,70.15625,75.78125,65.31076333333334
1999-11-22,75.9375,78.78125,74.25,77.6875,67.26736055555556
1999-11-29,77.53125,80.1875,73.75,79.125,69.36892333333334
1999-12-06,79.429685,80.5,77.25,79.5,71.11805555555556
1999-12-13,79.63281,84.875,77.9375,83.78125,73.77430555555556
1999-12-20,84.40625,90.75,83.6875,89.65625,76.85069444444444
1999-12-27,90.3125,93.75,87.90625,91.375,79.69791666666667
2000-01-03,96.1875,96.1875,80,88.5,81.95486111111113
2000-01-10,91,93.9375,86,92.6875,84.2326388888889
2000-01-18,92.0625,96.875,91.4375,96.25,86.50694444444446
2000-01-24,97.4375,97.625,84.75,85.75,87.40277777777779
2000-01-31,85.875,98.242185,83.5,96.90625,89.37847222222223
2000-02-07,97.25,102.25,96.25,99,91.54513888888889
2000-02-14,99.992185,103.25,95.875,98.8125,93.21527777777777
2000-02-22,99,107.5,96.25,104.1875,94.82986111111111
2000-02-28,103.25,111.125,100.5,109.523435,96.84635388888888
2000-03-06,111.75,116.4375,106.28125,114.6875,99.7560761111111
2000-03-13,110,114.125,101,110.8125,101.769965
2000-03-20,111,120.5,103.5625,117.875,104.17274277777778
2000-03-27,118,119.5,103.5,109.5,106.81163166666667
2000-04-03,107.76562,109.125,88.3125,106,107.82204833333333
2000-04-10,107.625,107.6875,63.125,79.75,105.68315944444444
2000-04-17,78.01562,93.625,78,86.875,104.35677055555554
2000-04-24,83.4375,94.75,79.875,94.5,103.28038166666666
2000-05-01,95.75,96.875,85.51562,91.5,101.27777777777777
2000-05-08,90.5,90.75,79.5,84.6875,97.94444444444443
2000-05-15,84.8125,91.5,81.3125,81.6875,94.70833333333331
2000-05-22,81.625,82.625,72.25,77.6875,90.24305555555554
2000-05-30,80,94.10937,80,93.25,88.4375
2000-06-05,92.25,95.3125,89.5625,93.5625,87.05555555555556
2000-06-12,94.3125,95.3125,89.35937,94.17187,88.65798555555556
